index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
0.0,39,3,77516,7,13,3,10,4,1,0,2174,0,40,22,0
1.0,50,6,83311,7,13,6,4,0,1,0,0,0,13,22,0
2.0,38,0,215646,11,9,1,14,4,1,0,0,0,40,22,0
3.0,53,0,234721,5,7,6,14,0,3,0,0,0,40,22,0
4.0,28,0,338409,7,13,6,2,5,3,1,0,0,40,15,0
5.0,37,0,284582,0,14,6,4,5,1,1,0,0,40,22,0
6.0,49,0,160187,4,5,4,7,4,3,1,0,0,16,37,0
7.0,52,6,209642,11,9,6,4,0,1,0,0,0,45,22,1
8.0,31,0,45781,0,14,3,2,4,1,1,14084,0,50,22,1
9.0,42,0,159449,7,13,6,4,0,1,0,5178,0,40,22,1
10.0,37,0,280464,14,10,6,4,0,3,0,0,0,80,22,1
11.0,30,3,141297,7,13,6,2,0,4,0,0,0,40,32,1
12.0,23,0,122272,7,13,3,10,3,1,1,0,0,30,22,0
13.0,32,0,205019,12,12,3,5,4,3,0,0,0,50,22,0
14.0,40,0,121772,15,11,6,12,0,4,0,0,0,40,39,1
15.0,34,0,245487,6,4,6,0,0,0,0,0,0,45,31,0
16.0,25,6,176756,11,9,3,8,3,1,0,0,0,35,22,0
17.0,32,0,186824,11,9,3,9,1,1,0,0,0,40,22,0
18.0,38,0,28887,5,7,6,5,0,1,0,0,0,50,22,0
19.0,43,6,292175,0,14,1,4,1,1,1,0,0,45,22,1
20.0,40,0,193524,13,16,6,2,0,1,0,0,0,60,22,1
21.0,54,0,302146,11,9,0,7,1,3,1,0,0,20,22,0
22.0,35,8,76845,4,5,6,8,0,3,0,0,0,40,22,0
23.0,43,0,117037,5,7,6,0,0,1,0,0,2042,40,22,0
24.0,59,0,109015,11,9,1,13,1,1,1,0,0,40,22,0
25.0,56,4,216851,7,13,6,13,0,1,0,0,0,40,22,1
26.0,19,0,168294,11,9,3,12,3,1,0,0,0,40,22,0
27.0,54,5,180211,14,10,6,6,0,4,0,0,0,60,17,1
28.0,39,0,367260,11,9,1,4,4,1,0,0,0,80,22,0
29.0,49,0,193366,11,9,6,12,0,1,0,0,0,40,22,0
30.0,23,4,190709,12,12,3,1,4,1,0,0,0,52,22,0
31.0,20,0,266015,14,10,3,5,3,3,0,0,0,44,22,0
32.0,45,0,386940,7,13,1,4,3,1,0,0,1408,40,22,0
33.0,30,8,59951,14,10,6,10,3,1,0,0,0,40,22,0
34.0,22,3,311512,14,10,6,7,0,3,0,0,0,15,22,0
35.0,48,0,242406,5,7,3,9,1,1,0,0,0,40,23,0
36.0,21,0,197200,14,10,3,9,3,1,0,0,0,40,22,0
37.0,19,0,544091,11,9,5,10,5,1,1,0,0,25,22,0
38.0,31,0,84154,14,10,6,5,0,1,0,0,0,38,39,1
39.0,48,6,265477,12,12,6,2,0,1,0,0,0,40,22,0
40.0,31,0,507875,4,5,6,9,0,1,0,0,0,43,22,0
41.0,53,6,88506,7,13,6,2,0,1,0,0,0,40,22,0
42.0,24,0,172987,7,13,6,13,0,1,0,0,0,50,22,0
43.0,49,0,94638,11,9,0,10,1,1,1,0,0,40,22,0
44.0,25,0,289980,11,9,3,14,4,1,0,0,0,35,22,0
45.0,57,8,337895,7,13,6,2,0,3,0,0,0,40,22,1
46.0,53,0,144361,11,9,6,9,0,1,0,0,0,38,22,0
47.0,44,0,128354,0,14,1,4,1,1,1,0,0,40,22,0
48.0,41,3,101603,15,11,6,12,0,1,0,0,0,40,22,0
49.0,29,0,271466,15,11,3,2,4,1,0,0,0,43,22,0
50.0,25,0,32275,14,10,6,4,5,2,1,0,0,40,22,0
51.0,18,0,226956,11,9,3,7,3,1,1,0,0,30,39,0
52.0,47,0,51835,10,15,6,2,5,1,1,0,1902,60,21,1
53.0,50,8,251585,7,13,1,4,4,1,0,0,0,55,22,1
54.0,47,7,109832,11,9,1,4,4,1,0,0,0,60,22,0
55.0,43,0,237993,14,10,6,13,0,1,0,0,0,40,22,1
56.0,46,0,216666,2,3,6,9,0,1,0,0,0,40,31,0
57.0,35,0,56352,15,11,6,7,0,1,0,0,0,40,23,0
58.0,41,0,147372,11,9,6,10,0,1,0,0,0,48,22,0
59.0,30,0,188146,11,9,6,9,0,1,0,5013,0,40,22,0
60.0,30,0,59496,7,13,6,5,0,1,0,2407,0,40,22,0
61.0,32,5,293936,6,4,4,6,4,1,0,0,0,40,39,0
62.0,48,0,149640,11,9,6,0,0,1,0,0,0,40,22,0
63.0,42,0,116632,13,16,6,2,0,1,0,0,0,45,22,1
64.0,29,0,105598,14,10,1,13,4,1,0,0,0,58,22,0
65.0,36,0,155537,11,9,6,12,0,1,0,0,0,40,22,0
66.0,28,0,183175,14,10,1,10,4,1,1,0,0,40,22,0
67.0,53,0,169846,11,9,6,10,5,1,1,0,0,40,22,1
68.0,49,7,191681,14,10,6,4,0,1,0,0,0,50,22,1
69.0,25,5,200681,14,10,3,6,3,1,0,0,0,40,22,0
70.0,19,0,101509,14,10,3,2,3,1,0,0,0,32,22,0
